fecha,twobe,amz,unempl,federal_funds,apparel_retailers,test_10y,gdp,inflation,consumer_discretionary,luxury,fed_mp
2016-01-01,326.0,30.05307905263158,0.049,0.0036263157894736845,769.421052631579,0.020794166666666666,0.005,0.014,583.9457894736842,1829.7549999999999,0.005
2016-02-01,167.24137931034483,26.5309999,0.049,0.0037400000000000003,766.75,0.017732,0.008,0.01,572.4745,1827.0842857142857,0.005
2016-03-01,299.0967741935484,28.61870440909091,0.05,0.00361304347826087,823.5909090909091,0.018881923076923077,0.011,0.009,614.0568181818181,1957.1382608695653,0.005
2016-04-01,308.6333333333333,30.679714142857144,0.05,0.0036666666666666666,802.0952380952381,0.0179424,0.012,0.011,628.1800000000001,1963.7266666666667,0.005
2016-05-01,352.1290322580645,34.87369014285714,0.047,0.0036619047619047616,739.6190476190476,0.018021923076923078,0.011,0.01,625.0304761904762,1879.2463636363636,0.005
2016-06-01,229.23333333333332,35.81952263636364,0.049,0.003768181818181818,721.7272727272727,0.016380384615384616,0.014,0.01,620.8436363636364,1831.0990909090908,0.005
2016-07-01,191.93548387096774,37.07337485,0.049,0.003955,762.9,0.0149176,0.029,0.008,641.6955,1860.712380952381,0.005
2016-08-01,201.67741935483872,38.24195647826087,0.049,0.003956521739130435,802.4347826086956,0.015597586206896552,0.032,0.011,645.1804347826087,1941.4595652173914,0.005
2016-09-01,182.26666666666668,39.448262047619046,0.05,0.003947619047619048,782.7619047619048,0.016324074074074074,0.035,0.015,630.777619047619,1923.7527272727273,0.005
2016-10-01,169.96774193548387,41.22195219047619,0.049,0.004024999999999999,782.4285714285714,0.01757730769230769,0.019,0.016,628.9428571428571,1924.1480952380953,0.005
2016-11-01,128.86666666666667,38.16676185714285,0.046,0.004052380952380952,806.7619047619048,0.021546799999999998,0.019,0.017,636.0214285714286,1923.6636363636362,0.005
2016-12-01,199.41935483870967,38.166261666666664,0.047,0.005357142857142856,827.8571428571429,0.024916800000000003,0.021,0.021,658.8519047619047,1954.684090909091,0.0075
2017-01-01,129.48387096774192,40.37525005,0.048,0.00655,773.0,0.0242884,0.007,0.025,668.2715000000001,2016.1281818181817,0.0075
2017-02-01,173.57142857142858,41.787263157894735,0.047,0.006552631578947368,775.1578947368421,0.024176086956521736,0.012,0.027,682.8663157894737,2042.239,0.0075
2017-03-01,249.61290322580646,42.711999999999996,0.045,0.007865217391304347,772.7826086956521,0.02481785714285714,0.014,0.024,691.971304347826,2101.445652173913,0.01
2017-04-01,303.8,45.169289368421055,0.044,0.00906,760.6315789473684,0.022919583333333337,0.026,0.022,701.1673684210526,2159.1925,0.01
